"package_name", "sum(sum_quantity)"
"a", "23"
"android", "36"
"android.accessibilityservice", "735"
"android.accounts", "528"
"android.animation", "287"
"android.app", "72905"
"android.appwidget", "38"
"android.bluetooth", "82"
"android.content", "107569"
"android.content.pm", "7913"
"android.content.res", "35502"
"android.database", "17370"
"android.database.sqlite", "6410"
"android.graphics", "31150"
"android.graphics.drawable", "15140"
"android.graphics.drawable.shapes", "186"
"android.graphics.pdf", "612"
"android.hardware", "41"
"android.hardware.display", "218"
"android.location", "1485"
"android.media", "6920"
"android.media.session", "2805"
"android.net", "19045"
"android.net.http", "206"
"android.net.wifi", "142"
"android.os", "539829"
"android.preference", "338"
"android.print", "3303"
"android.print.pdf", "1020"
"android.provider", "1215"
"android.speech.tts", "266"
"android.support.multidex", "4997"
"android.support.v13.app", "5050"
"android.support.v4", "47"
"android.support.v4.a", "91"
"android.support.v4.accessibilityservice", "6239"
"android.support.v4.app", "575246"
"android.support.v4.b", "230"
"android.support.v4.c", "61"
"android.support.v4.content", "76158"
"android.support.v4.content.pm", "134"
"android.support.v4.content.res", "333"
"android.support.v4.d", "13"
"android.support.v4.database", "791"
"android.support.v4.f", "62"
"android.support.v4.graphics", "2280"
"android.support.v4.graphics.drawable", "10812"
"android.support.v4.hardware.display", "3119"
"android.support.v4.internal.view", "2699"
"android.support.v4.media", "38658"
"android.support.v4.media.routing", "7431"
"android.support.v4.media.session", "22690"
"android.support.v4.net", "10513"
"android.support.v4.os", "4437"
"android.support.v4.print", "17778"
"android.support.v4.provider", "12522"
"android.support.v4.speech.tts", "1236"
"android.support.v4.text", "21383"
"android.support.v4.util", "84383"
"android.support.v4.view", "398673"
"android.support.v4.view.a", "2041"
"android.support.v4.view.accessibility", "125316"
"android.support.v4.widget", "365205"
"android.support.v7.app", "58834"
"android.support.v7.appcompat", "708"
"android.support.v7.b", "110"
"android.support.v7.cardview", "55"
"android.support.v7.internal", "117"
"android.support.v7.internal.a", "11"
"android.support.v7.internal.app", "22259"
"android.support.v7.internal.b", "78"
"android.support.v7.internal.text", "294"
"android.support.v7.internal.transition", "64"
"android.support.v7.internal.view", "16619"
"android.support.v7.internal.view.menu", "90699"
"android.support.v7.internal.widget", "204881"
"android.support.v7.recyclerview", "19"
"android.support.v7.view", "1941"
"android.support.v7.widget", "276455"
"android.telephony", "417"
"android.text", "13784"
"android.text.format", "28"
"android.text.method", "316"
"android.text.style", "173"
"android.transition", "1154"
"android.util", "39997"
"android.view", "188166"
"android.view.accessibility", "20091"
"android.view.animation", "9322"
"android.view.inputmethod", "438"
"android.webkit", "9127"
"android.widget", "78059"
"bj", "11"
"bolts", "13255"
"boolean[]", "11"
"butterknife", "1481"
"butterknife.internal", "5955"
"byte[]", "249"
"char[]", "50"
"com.a.a", "65"
"com.actionbarsherlock", "4812"
"com.actionbarsherlock.app", "13514"
"com.actionbarsherlock.internal", "8695"
"com.actionbarsherlock.internal.app", "9653"
"com.actionbarsherlock.internal.nineoldandroids.animation", "20805"
"com.actionbarsherlock.internal.nineoldandroids.view", "460"
"com.actionbarsherlock.internal.nineoldandroids.view.animation", "2016"
"com.actionbarsherlock.internal.nineoldandroids.widget", "1401"
"com.actionbarsherlock.internal.view", "914"
"com.actionbarsherlock.internal.view.menu", "34918"
"com.actionbarsherlock.internal.widget", "53605"
"com.actionbarsherlock.view", "4883"
"com.actionbarsherlock.widget", "27764"
"com.amazon.android", "135"
"com.amazon.android.framework.context", "60"
"com.amazon.android.framework.exception", "15"
"com.amazon.android.framework.prompt", "75"
"com.amazon.android.framework.task", "15"
"com.amazon.android.framework.task.command", "15"
"com.amazon.android.framework.util", "75"
"com.amazon.android.licensing", "30"
"com.amazon.device.ads", "50090"
"com.amazon.inapp.purchasing", "17946"
"com.amazon.venezia.command", "135"
"com.android.vending.billing", "3040"
"com.android.volley", "12098"
"com.android.volley.toolbox", "16483"
"com.appsflyer", "512"
"com.b.a", "90"
"com.comscore.analytics", "9172"
"com.comscore.android", "62"
"com.comscore.applications", "4288"
"com.comscore.instrumentation", "676"
"com.comscore.measurement", "2451"
"com.comscore.metrics", "1759"
"com.comscore.utils", "12321"
"com.comscore.utils.id", "397"
"com.comscore.utils.task", "416"
"com.crashlytics.android", "52229"
"com.crashlytics.android.internal", "85578"
"com.crittercism.app", "468"
"com.dropbox.client2.android", "274"
"com.facebook", "322560"
"com.facebook.ads", "3867"
"com.facebook.android", "36767"
"com.facebook.internal", "144088"
"com.facebook.model", "33143"
"com.facebook.widget", "197753"
"com.fasterxml.jackson.annotation", "3300"
"com.fasterxml.jackson.core", "21560"
"com.fasterxml.jackson.core.base", "6698"
"com.fasterxml.jackson.core.format", "768"
"com.fasterxml.jackson.core.io", "6641"
"com.fasterxml.jackson.core.json", "29543"
"com.fasterxml.jackson.core.sym", "3830"
"com.fasterxml.jackson.core.type", "197"
"com.fasterxml.jackson.core.util", "8233"
"com.fasterxml.jackson.databind", "45914"
"com.fasterxml.jackson.databind.annotation", "741"
"com.fasterxml.jackson.databind.cfg", "4165"
"com.fasterxml.jackson.databind.deser", "38991"
"com.fasterxml.jackson.databind.deser.impl", "14130"
"com.fasterxml.jackson.databind.deser.std", "27849"
"com.fasterxml.jackson.databind.exc", "433"
"com.fasterxml.jackson.databind.ext", "1314"
"com.fasterxml.jackson.databind.introspect", "33020"
"com.fasterxml.jackson.databind.jsonFormatVisitors", "1397"
"com.fasterxml.jackson.databind.jsonschema", "253"
"com.fasterxml.jackson.databind.jsontype", "2578"
"com.fasterxml.jackson.databind.jsontype.impl", "7819"
"com.fasterxml.jackson.databind.module", "1859"
"com.fasterxml.jackson.databind.node", "9890"
"com.fasterxml.jackson.databind.ser", "14845"
"com.fasterxml.jackson.databind.ser.impl", "7833"
"com.fasterxml.jackson.databind.ser.std", "20457"
"com.fasterxml.jackson.databind.type", "15663"
"com.fasterxml.jackson.databind.util", "19275"
"com.flurry.android", "3521"
"com.flurry.android.impl.analytics", "132"
"com.flurry.sdk", "49896"
"com.google.a", "138"
"com.google.a.a", "15"
"com.google.ads", "4001"
"com.google.ads.mediation", "5392"
"com.google.ads.mediation.admob", "5669"
"com.google.ads.mediation.customevent", "4709"
"com.google.ads.mediation.jsadapter", "1419"
"com.google.analytics.containertag.common", "1409"
"com.google.analytics.containertag.proto", "129299"
"com.google.analytics.midtier.proto.containertag", "19655"
"com.google.analytics.tracking.android", "44957"
"com.google.android.apps.analytics", "4715"
"com.google.android.gcm", "5235"
"com.google.android.gms", "972"
"com.google.android.gms.a", "108"
"com.google.android.gms.actions", "106"
"com.google.android.gms.ads", "18430"
"com.google.android.gms.ads.doubleclick", "7330"
"com.google.android.gms.ads.identifier", "5783"
"com.google.android.gms.ads.mediation", "2324"
"com.google.android.gms.ads.mediation.admob", "280"
"com.google.android.gms.ads.mediation.customevent", "4480"
"com.google.android.gms.ads.purchase", "951"
"com.google.android.gms.ads.search", "8630"
"com.google.android.gms.analytics", "158939"
"com.google.android.gms.analytics.ecommerce", "7274"
"com.google.android.gms.analytics.internal", "1686"
"com.google.android.gms.appindexing", "2163"
